Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Tuition fees up to date,Curricular units 1st sem (grade),Age at enrollment,Admission grade,Curricular units 2nd sem (evaluations),Previous qualification (grade),Course,Curricular units 1st sem (evaluations),Father's occupation,Mother's occupation,GDP,Application mode,Mother's qualification,Father's qualification,Scholarship holder,Debtor,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Previous qualification,Displaced,Curricular units 2nd sem (without evaluations),Curricular units 1st sem (without evaluations),Inflation rate,Unemployment rate,Gender,Application order,Target
6,11.83333333,6,1,12.83333333,19,132.8,8,137.0,9238,6,9,9,1.74,1,19,1,0,0,6,6,1,0,0,0,1.4,10.8,1,1,Non-Dropout
4,11.5,5,1,12.6,20,126.7,11,120.0,9773,9,0,0,0.32,1,36,37,0,0,6,6,1,1,0,0,2.6,7.6,1,1,Non-Dropout
7,13.77142857,6,1,14.33333333,22,105.8,9,110.0,9500,8,7,9,2.02,1,19,19,0,0,8,7,1,1,0,0,0.6,11.1,1,1,Non-Dropout
6,13.625,4,1,13.5,18,117.2,10,120.0,9119,8,8,9,2.02,17,1,19,1,0,6,5,1,0,0,0,0.6,11.1,1,2,Non-Dropout
7,14.28571429,7,1,14.28571429,19,140.0,8,143.0,9500,8,9,9,-1.7,1,38,38,0,0,8,8,1,0,0,0,3.7,12.7,1,1,Non-Dropout
2,10.0,3,1,11.75,22,120.0,12,120.0,9003,15,7,9,0.79,44,1,19,0,0,6,6,39,0,0,0,-0.3,13.9,1,1,Dropout
5,17.6,5,1,14.8,20,119.5,5,124.0,9119,5,9,2,3.51,17,4,12,0,0,5,5,1,1,0,0,1.4,8.9,1,5,Non-Dropout
0,0.0,0,0,0.0,34,153.9,0,168.0,9003,7,3,9,1.79,39,1,41,0,1,6,6,1,0,0,0,0.5,12.4,1,1,Dropout
0,0.0,1,1,10.0,24,130.0,5,133.1,8014,14,4,4,-0.92,39,1,1,0,0,5,6,19,0,0,0,0.3,16.2,1,1,Dropout
0,0.0,0,1,0.0,26,107.0,5,150.0,9670,5,0,0,0.32,39,34,34,0,0,5,5,1,1,0,0,2.6,7.6,1,2,Dropout
5,12.38,4,1,12.6,35,132.8,9,140.0,9500,10,6,9,1.79,39,37,37,0,0,7,7,1,0,0,0,0.5,12.4,1,1,Dropout
5,11.8,5,1,12.42857143,22,127.5,7,145.0,9991,9,9,4,0.32,1,2,37,0,0,5,5,1,1,0,1,2.6,7.6,1,1,Non-Dropout
3,12.0,4,1,10.0,26,123.3,11,118.0,9254,10,5,5,-3.12,18,38,38,0,0,6,6,1,1,0,0,-0.8,9.4,1,1,Non-Dropout
0,0.0,3,1,12.33333333,19,122.0,5,123.0,9147,7,4,3,3.51,17,1,19,0,0,5,5,1,0,0,0,1.4,8.9,1,1,Dropout
0,0.0,0,0,0.0,19,114.8,0,120.0,9254,0,9,3,3.51,1,3,19,0,0,6,6,1,1,0,0,1.4,8.9,1,5,Dropout
0,0.0,0,1,0.0,20,140.0,0,140.0,171,0,2,2,-4.06,44,3,3,0,1,0,0,39,0,0,0,2.8,15.5,1,1,Non-Dropout
8,13.33333333,10,1,12.1,21,111.0,9,126.0,9670,12,10,1,2.02,51,3,3,0,1,8,11,1,0,0,0,0.6,11.1,1,1,Non-Dropout
6,15.0,6,1,14.71428571,19,133.2,6,137.0,9773,7,7,7,0.79,1,1,19,1,0,6,6,1,1,0,0,-0.3,13.9,0,2,Non-Dropout
6,12.83333333,6,1,12.66666667,18,123.0,7,130.0,9773,6,9,9,-1.7,1,19,19,0,0,6,6,1,1,0,0,3.7,12.7,0,3,Non-Dropout
10,13.3,12,1,14.38461538,23,150.0,12,150.0,9003,14,8,8,3.51,53,1,38,1,0,10,12,42,0,0,0,1.4,8.9,0,1,Non-Dropout
5,12.2,5,1,13.4,18,132.3,6,147.0,9147,5,7,5,-1.7,17,19,38,1,0,5,5,1,1,0,0,3.7,12.7,0,3,Non-Dropout
7,13.31428571,7,1,13.31428571,18,126.0,8,140.0,9500,8,7,5,-1.7,18,37,38,0,0,8,8,1,1,0,0,3.7,12.7,0,1,Non-Dropout
7,11.98857143,7,1,11.98857143,19,119.3,8,132.0,9500,8,9,9,1.74,1,38,38,0,0,8,8,1,1,0,0,1.4,10.8,0,3,Non-Dropout
8,12.88888889,11,1,11.54545455,21,133.8,13,130.0,9147,17,172,143,3.51,53,1,19,0,0,9,11,42,1,0,0,1.4,8.9,0,1,Non-Dropout
6,13.875,6,1,16.46153846,18,126.5,8,130.0,9085,13,6,9,-4.06,1,37,37,1,0,6,6,1,1,0,0,2.8,15.5,0,1,Non-Dropout
6,12.83333333,6,1,13.66666667,24,138.4,6,151.0,9773,7,5,9,1.74,1,38,37,1,0,6,6,1,1,0,0,1.4,10.8,0,1,Non-Dropout
8,13.41111111,7,1,12.65,18,129.0,9,144.0,9500,8,3,2,-0.92,1,3,39,0,0,8,7,1,1,0,0,0.3,16.2,0,4,Dropout
3,12.0,6,1,12.33333333,18,118.3,10,127.0,9670,7,7,5,0.79,1,19,1,0,0,6,6,1,1,0,0,-0.3,13.9,0,1,Non-Dropout
7,14.65,6,1,14.37,20,129.8,10,131.0,9500,8,7,9,1.79,17,19,37,0,0,8,7,1,1,0,0,0.5,12.4,0,2,Non-Dropout
4,11.75,3,1,12.0,19,113.6,8,123.0,9085,13,9,4,-3.12,17,1,19,0,0,5,5,1,1,0,2,-0.8,9.4,0,2,Non-Dropout
3,10.66666667,3,0,12.0,18,128.3,15,130.0,9773,12,8,0,0.32,1,34,38,1,0,6,6,1,1,0,0,2.6,7.6,0,5,Dropout
3,11.0,4,1,12.0,19,130.0,14,130.0,9254,11,7,5,1.74,43,1,19,1,0,6,6,1,0,0,0,1.4,10.8,0,1,Dropout
5,11.2,5,1,12.6,19,121.9,7,131.0,9853,10,8,4,1.74,17,1,38,0,0,6,6,1,1,0,0,1.4,10.8,0,2,Non-Dropout
6,12.33333333,6,1,12.16666667,18,129.4,6,135.0,9238,6,3,9,1.74,1,1,38,0,1,6,6,3,0,0,0,1.4,10.8,0,5,Non-Dropout
6,14.0,6,1,13.5,20,115.3,8,123.0,9853,8,103,194,2.02,1,19,1,0,0,7,7,1,1,0,0,0.6,11.1,0,2,Non-Dropout
8,13.76375,8,1,13.76375,18,125.5,8,145.0,9500,8,9,9,-3.12,1,38,38,1,0,8,8,1,1,0,0,-0.8,9.4,0,5,Non-Dropout
6,12.8,6,1,12.4,19,117.8,8,118.0,9556,11,5,5,2.02,17,38,38,1,0,7,7,1,1,0,0,0.6,11.1,0,6,Non-Dropout
2,12.0,4,1,10.66666667,18,118.7,11,125.0,9147,16,10,2,0.79,17,3,38,0,0,5,5,1,1,0,0,-0.3,13.9,0,3,Non-Dropout
6,14.33333333,6,1,14.33333333,18,139.0,7,152.0,9500,7,9,9,0.32,1,37,37,0,0,7,7,1,1,0,0,2.6,7.6,0,2,Non-Dropout
2,12.66666667,4,1,12.5,21,98.9,13,101.0,9085,12,9,4,2.02,1,1,37,0,0,6,6,1,1,0,0,0.6,11.1,0,1,Non-Dropout
0,0.0,1,0,10.0,19,137.7,13,137.0,9254,14,7,0,0.32,17,34,38,0,1,6,6,1,1,0,0,2.6,7.6,0,1,Dropout
8,14.62222222,7,1,14.69625,21,113.6,9,123.0,9500,8,3,3,1.79,1,1,1,0,0,8,7,1,1,0,0,0.5,12.4,0,4,Non-Dropout
3,13.75,4,1,11.5,18,113.4,17,120.0,9085,14,9,2,2.02,1,4,1,0,0,6,6,1,0,0,0,0.6,11.1,0,1,Non-Dropout
8,13.9125,7,1,12.85555556,18,128.5,8,131.0,9556,9,7,9,-1.7,17,19,38,1,0,8,7,1,0,0,0,3.7,12.7,0,3,Non-Dropout
8,13.99444444,7,1,13.7,18,142.8,9,141.0,9500,7,10,3,2.02,1,1,1,0,0,8,7,1,0,0,0,0.6,11.1,0,1,Non-Dropout
1,12.0,0,0,0.0,23,137.7,10,144.0,9130,9,3,1,1.74,1,3,1,0,0,5,5,1,0,3,3,1.4,10.8,0,1,Dropout
4,12.0,3,1,11.2,20,103.5,9,107.0,9238,13,7,7,-0.92,1,19,37,0,0,6,6,1,1,0,0,0.3,16.2,0,1,Non-Dropout
8,13.33333333,7,1,13.28571429,18,123.2,9,133.0,9500,7,5,5,-0.92,1,38,38,0,0,8,7,1,0,0,0,0.3,16.2,0,1,Non-Dropout
5,10.4,5,1,13.0,19,126.0,8,126.0,9853,9,10,2,0.32,17,1,19,0,0,6,6,1,1,0,0,2.6,7.6,0,2,Non-Dropout
6,11.68571429,6,1,12.6,27,121.7,9,133.1,9500,8,7,3,1.79,39,1,38,1,0,7,7,1,0,0,0,0.5,12.4,0,1,Non-Dropout
4,12.0,5,0,12.8,19,142.8,5,147.0,9147,5,6,9,2.02,17,37,37,1,1,5,5,1,1,0,0,0.6,11.1,0,1,Non-Dropout
5,11.0,5,1,11.5,21,120.0,13,120.0,9130,14,9,9,-4.06,43,1,19,0,0,6,6,1,1,1,1,2.8,15.5,0,1,Dropout
7,11.4,7,1,11.4,19,119.3,8,130.0,9500,8,8,7,1.74,18,37,38,1,0,8,8,1,1,0,0,1.4,10.8,0,1,Non-Dropout
6,11.33333333,6,1,12.33333333,21,121.0,8,120.0,9238,6,9,6,0.79,44,37,37,1,0,6,6,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
4,12.2,5,1,12.8,18,139.4,10,138.0,9773,7,9,9,1.74,1,19,19,0,0,6,6,1,1,0,0,1.4,10.8,0,5,Non-Dropout
4,15.0,5,1,12.0,20,113.9,8,124.0,9085,8,7,7,-1.7,17,19,38,1,0,5,5,1,1,1,1,3.7,12.7,0,1,Non-Dropout
5,13.5,5,1,13.0,18,124.6,9,133.0,9853,8,7,9,-3.12,1,37,37,1,0,6,6,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
6,11.0,6,0,11.83333333,18,123.8,8,122.0,9070,6,8,4,-1.7,17,1,1,1,1,6,6,1,1,0,0,3.7,12.7,0,1,Dropout
6,13.33333333,6,1,14.0,18,126.3,9,138.0,9085,8,4,4,3.51,1,1,3,0,0,6,6,1,1,0,0,1.4,8.9,0,3,Non-Dropout
6,13.5,6,1,12.33333333,18,120.4,6,134.0,9773,6,3,3,-0.92,17,1,1,1,0,6,6,1,1,0,0,0.3,16.2,0,4,Non-Dropout
7,12.5,5,1,13.04,19,120.5,7,128.0,9500,10,7,7,1.79,1,1,1,1,0,7,7,1,1,0,0,0.5,12.4,0,3,Non-Dropout
8,13.33333333,11,0,13.16666667,23,144.9,15,140.0,9085,18,9,8,3.51,53,19,38,0,1,9,11,42,1,0,0,1.4,8.9,0,1,Non-Dropout
6,12.83333333,6,1,12.5,24,139.9,11,133.1,9085,7,9,4,3.51,39,19,19,1,0,6,6,19,1,0,0,1.4,8.9,0,1,Non-Dropout
0,0.0,0,1,0.0,19,133.3,0,142.0,171,0,3,3,1.74,1,1,1,0,0,0,0,1,1,0,0,1.4,10.8,0,1,Non-Dropout
7,15.65714286,7,1,15.65714286,18,126.0,8,141.0,9500,8,9,9,-1.7,1,19,19,0,0,8,8,1,1,0,0,3.7,12.7,0,3,Non-Dropout
6,11.33333333,6,1,12.16666667,19,133.5,6,145.0,9070,6,3,4,-1.7,1,1,19,0,0,6,6,1,0,0,0,3.7,12.7,0,2,Non-Dropout
0,0.0,0,1,0.0,19,127.9,0,145.0,9853,0,9,4,1.74,17,38,19,0,0,6,6,1,1,0,0,1.4,10.8,0,2,Dropout
5,11.16666667,5,1,10.6,20,105.9,9,108.0,9238,11,8,5,2.02,1,1,38,1,0,6,6,1,0,0,0,0.6,11.1,0,1,Non-Dropout
5,12.66666667,6,1,13.42857143,20,124.3,11,132.0,9085,10,5,4,0.79,1,1,12,0,0,6,6,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
0,0.0,4,1,11.75,26,102.5,12,140.0,9773,8,0,0,0.32,39,34,37,0,0,6,6,1,0,0,0,2.6,7.6,0,1,Dropout
0,0.0,0,0,0.0,36,97.0,5,133.1,9254,10,5,9,-4.06,39,19,1,0,1,5,5,19,0,0,0,2.8,15.5,1,1,Dropout
0,0.0,0,0,0.0,19,134.7,0,128.0,171,0,10,4,1.74,17,1,1,0,0,0,0,1,0,0,0,1.4,10.8,1,1,Dropout
0,0.0,0,0,0.0,27,113.8,0,120.0,9119,0,9,9,-4.06,42,19,37,0,0,5,5,1,0,0,0,2.8,15.5,1,1,Dropout
0,0.0,1,1,13.0,18,116.9,5,120.0,9119,9,152,123,3.51,1,3,1,0,0,5,5,1,0,0,0,1.4,8.9,1,4,Dropout
7,13.33142857,7,1,13.33142857,18,124.0,8,139.0,9500,8,9,9,1.74,1,37,38,1,0,8,8,1,1,0,0,1.4,10.8,1,4,Non-Dropout
0,0.0,0,1,0.0,28,117.5,0,139.3,9070,0,5,5,1.79,39,38,38,0,0,6,6,1,0,0,0,0.5,12.4,1,1,Dropout
0,0.0,0,1,0.0,21,154.8,0,150.0,171,0,9,9,1.79,44,19,1,0,0,0,0,39,1,0,0,0.5,12.4,1,1,Non-Dropout
6,13.7,6,1,13.7,19,141.0,7,138.0,9500,7,9,4,0.32,1,19,37,0,0,7,7,1,0,0,0,2.6,7.6,1,1,Non-Dropout
0,0.0,0,0,0.0,26,120.0,5,133.1,9670,5,3,3,-3.12,39,6,22,0,1,5,5,9,0,5,0,-0.8,9.4,1,1,Dropout
6,13.875,9,1,13.45454545,20,133.6,9,136.0,9119,12,5,3,2.02,51,1,19,0,0,7,9,1,1,0,0,0.6,11.1,1,1,Dropout
7,12.2,7,1,12.2,19,122.0,8,134.0,9500,8,9,9,-1.7,1,38,38,0,0,8,8,1,1,0,0,3.7,12.7,1,6,Non-Dropout
4,11.0,3,1,10.0,21,120.0,10,140.0,9147,8,3,7,-1.7,1,19,19,0,0,5,5,1,1,0,0,3.7,12.7,1,1,Dropout
6,12.85714286,5,1,13.0,23,114.2,7,110.0,9670,7,9,9,3.51,53,1,19,1,0,6,6,42,0,0,0,1.4,8.9,1,1,Non-Dropout
6,14.0,6,1,12.0,29,95.5,6,133.1,8014,11,8,4,2.02,39,38,37,0,0,6,6,38,0,0,0,0.6,11.1,1,1,Non-Dropout
7,15.02857143,7,1,15.02857143,20,120.0,8,129.0,9500,8,9,9,-1.7,1,1,1,0,0,8,8,1,0,0,0,3.7,12.7,1,1,Non-Dropout
6,11.71428571,6,1,12.0,18,111.1,7,116.0,9238,8,9,5,-4.06,1,1,19,0,0,6,6,1,0,0,0,2.8,15.5,1,1,Non-Dropout
5,12.4,5,1,12.0,19,128.6,8,130.0,9773,8,5,3,-3.12,1,1,38,0,0,6,6,1,1,0,0,-0.8,9.4,1,1,Non-Dropout
3,11.33333333,3,0,13.66666667,23,130.0,8,130.0,9556,7,8,4,1.74,7,1,37,0,0,8,7,3,0,4,0,1.4,10.8,1,1,Dropout
0,0.0,0,1,0.0,21,111.1,0,116.0,171,0,1,5,0.79,1,38,1,0,0,0,0,1,0,0,0,-0.3,13.9,1,1,Dropout
4,12.5,5,1,12.0,18,122.7,7,136.0,9147,6,3,9,-4.06,17,1,1,0,0,5,5,1,1,0,0,2.8,15.5,1,1,Non-Dropout
0,0.0,0,1,0.0,18,134.4,0,147.0,171,0,7,7,1.74,1,37,19,1,0,0,0,1,1,0,0,1.4,10.8,1,1,Non-Dropout
0,0.0,1,0,14.0,21,131.0,7,117.0,9070,6,5,5,-3.12,1,19,37,0,1,6,6,1,1,7,0,-0.8,9.4,1,5,Dropout
0,0.0,0,1,0.0,22,125.0,7,141.0,9238,6,9,5,2.02,51,1,1,0,0,6,6,1,0,0,0,0.6,11.1,1,1,Dropout
5,12.58333333,7,1,12.375,21,106.0,11,133.1,9556,8,8,2,3.51,18,3,19,0,0,7,7,1,1,0,0,1.4,8.9,1,1,Non-Dropout
0,0.0,0,0,0.0,32,128.0,0,133.1,9500,0,9,9,-0.92,39,38,19,0,0,8,7,1,1,0,0,0.3,16.2,1,1,Dropout
13,11.07692308,18,1,11.42105263,27,120.0,16,120.0,9003,21,1,4,-4.06,7,1,19,0,0,13,18,3,1,1,0,2.8,15.5,1,1,Non-Dropout
6,13.35,6,1,13.35,18,134.8,7,148.0,9500,7,8,9,0.32,1,19,38,0,0,7,7,1,1,0,0,2.6,7.6,1,1,Non-Dropout
2,16.0,6,1,15.0,24,112.0,6,130.0,9070,6,3,5,-4.06,39,1,1,1,0,6,6,1,1,0,0,2.8,15.5,1,1,Non-Dropout
0,0.0,2,1,10.5,22,116.1,5,120.0,9130,9,9,1,-1.7,1,19,37,0,0,5,5,1,1,0,0,3.7,12.7,1,1,Dropout
0,0.0,0,0,0.0,22,120.0,6,120.0,9130,0,2,3,1.74,43,2,3,0,0,4,6,1,1,2,0,1.4,10.8,1,1,Dropout
5,11.83333333,5,1,13.25,19,119.7,6,133.0,9147,8,5,9,0.79,1,37,37,0,0,5,5,1,1,0,0,-0.3,13.9,1,3,Non-Dropout
0,0.0,0,1,0.0,19,117.1,5,129.0,9119,10,90,4,0.32,17,37,13,0,0,5,5,1,1,0,0,2.6,7.6,1,6,Dropout
3,10.6,4,1,11.5,21,112.4,15,118.0,9085,7,3,3,1.74,1,1,19,0,0,5,5,1,1,4,0,1.4,10.8,1,2,Non-Dropout
8,13.88125,8,1,13.88125,18,131.0,8,140.0,9500,8,7,2,-3.12,1,1,1,1,0,8,8,1,1,0,0,-0.8,9.4,0,2,Non-Dropout
5,12.6,6,1,11.33333333,18,130.9,8,127.0,9254,8,10,3,-3.12,1,3,19,0,0,6,6,1,1,0,0,-0.8,9.4,0,2,Non-Dropout
0,0.0,0,1,0.0,20,134.9,0,131.0,171,0,9,9,-0.92,1,19,19,0,1,0,0,1,1,0,0,0.3,16.2,0,1,Dropout
6,13.66666667,6,1,12.85714286,19,127.1,7,132.0,9238,7,9,4,0.79,17,1,19,0,0,6,6,1,1,0,0,-0.3,13.9,0,1,Non-Dropout
6,12.5,5,1,11.6,19,110.2,6,113.0,9773,6,175,191,3.51,17,38,38,0,1,6,6,1,1,0,0,1.4,8.9,0,5,Non-Dropout
6,11.33333333,5,1,11.4,18,108.7,6,115.0,9254,9,3,9,1.79,17,12,1,1,0,6,6,1,1,0,0,0.5,12.4,0,1,Non-Dropout
6,13.0,6,1,13.33333333,20,138.0,10,133.1,9130,11,9,3,-0.92,1,1,1,0,0,6,6,1,1,0,0,0.3,16.2,0,1,Non-Dropout
9,13.77777778,7,1,13.57142857,22,147.7,9,150.0,9070,7,9,3,1.79,44,12,37,1,1,9,7,39,0,0,0,0.5,12.4,0,1,Non-Dropout
7,12.22857143,6,1,11.83333333,31,123.0,8,133.1,9556,13,9,9,1.79,39,37,38,0,0,7,7,19,0,0,0,0.5,12.4,0,1,Non-Dropout
7,14.14285714,7,1,14.42857143,19,142.8,7,141.0,9853,7,8,9,-0.92,17,19,19,1,0,7,7,1,0,0,0,0.3,16.2,0,1,Non-Dropout
0,0.0,0,1,0.0,18,138.3,0,140.0,171,0,3,3,1.79,1,1,3,0,0,0,0,1,1,0,0,0.5,12.4,0,2,Non-Dropout
5,12.4,6,1,12.28571429,18,125.2,9,136.0,9254,8,7,9,3.51,1,38,38,1,0,6,6,1,1,0,0,1.4,8.9,0,2,Non-Dropout
5,13.8,5,1,14.4,21,141.8,5,140.0,9085,7,90,1,0.32,1,12,1,0,0,5,5,1,0,0,0,2.6,7.6,0,1,Non-Dropout
8,15.06875,7,1,13.15,18,130.6,9,143.0,9500,8,7,9,0.79,17,38,1,1,0,8,7,1,1,0,0,-0.3,13.9,0,5,Non-Dropout
0,0.0,0,0,0.0,25,130.0,5,130.0,9147,6,8,2,-4.06,44,2,37,0,1,5,5,39,0,0,0,2.8,15.5,1,1,Dropout
0,0.0,0,1,0.0,21,100.0,8,133.1,9119,5,8,5,2.02,15,1,3,0,1,6,5,1,0,0,0,0.6,11.1,1,1,Dropout
7,12.34285714,7,1,12.34285714,19,119.0,8,129.0,9500,8,5,5,1.74,18,38,37,1,0,8,8,1,1,0,0,1.4,10.8,0,2,Non-Dropout
5,10.8,5,1,12.2,19,124.3,7,132.0,9773,6,9,9,1.74,1,38,1,0,0,6,6,1,1,0,0,1.4,10.8,0,2,Non-Dropout
1,11.0,4,1,10.5,22,122.2,14,118.0,9254,10,0,5,0.32,17,11,34,0,0,6,6,1,1,0,0,2.6,7.6,0,1,Dropout
5,11.6,5,1,10.6,19,150.0,8,150.0,9147,5,1,9,1.79,15,38,1,0,0,5,5,1,0,0,0,0.5,12.4,1,1,Non-Dropout
0,0.0,0,1,0.0,58,135.5,6,133.1,8014,6,5,9,2.02,39,37,37,0,0,6,6,19,0,0,0,0.6,11.1,0,1,Dropout
6,12.0,4,1,11.25,19,127.3,6,122.0,9238,8,7,9,1.74,16,19,37,1,0,6,6,1,1,0,0,1.4,10.8,0,2,Non-Dropout
10,11.7,6,1,10.5,23,127.0,10,127.0,9670,11,9,9,-3.12,43,37,37,0,0,10,9,1,1,0,0,-0.8,9.4,1,1,Non-Dropout
3,11.66666667,4,1,11.0,19,126.9,11,122.0,9773,11,9,9,-3.12,1,37,37,1,0,6,6,1,1,0,0,-0.8,9.4,0,2,Non-Dropout
8,14.5125,7,1,13.45714286,18,127.5,8,131.0,9500,7,7,4,0.79,18,19,1,0,0,8,7,1,1,0,0,-0.3,13.9,0,3,Non-Dropout
4,12.33333333,5,1,12.6,20,122.0,8,130.0,9085,6,90,90,0.32,1,19,19,0,0,5,5,1,0,0,0,2.6,7.6,0,2,Non-Dropout
0,0.0,0,0,0.0,18,115.8,0,130.0,9085,0,7,90,-1.7,17,19,19,0,0,6,6,1,0,0,0,3.7,12.7,0,5,Dropout
5,13.6,6,1,13.66666667,18,121.6,8,130.0,9670,6,5,5,3.51,17,3,19,0,0,6,6,1,0,0,0,1.4,8.9,0,1,Non-Dropout
5,11.8,5,1,11.6,18,116.4,5,122.0,9147,5,7,5,2.02,17,19,19,1,1,5,5,1,1,0,0,0.6,11.1,0,4,Non-Dropout
5,12.83333333,6,1,12.57142857,24,120.0,10,114.0,9130,9,10,9,2.02,39,38,38,0,0,6,6,1,0,0,0,0.6,11.1,0,1,Dropout
5,11.4,5,1,11.8,18,127.3,7,143.0,9853,7,5,9,1.74,17,37,37,0,0,6,6,1,1,0,0,1.4,10.8,0,4,Dropout
3,12.66666667,5,1,11.6,19,123.5,11,127.0,9147,5,7,5,-3.12,1,1,38,1,0,5,5,1,1,0,0,-0.8,9.4,0,3,Non-Dropout
6,11.83333333,6,1,11.33333333,19,125.6,6,141.0,9238,8,7,9,3.51,17,19,38,1,0,6,6,1,1,0,0,1.4,8.9,0,3,Non-Dropout
6,11.5,6,1,10.66666667,18,118.5,6,129.0,9254,6,6,6,0.32,1,38,38,0,0,6,6,1,1,0,0,2.6,7.6,0,1,Non-Dropout
5,13.4,4,1,13.5,18,129.5,5,140.0,9130,10,9,9,-1.7,1,19,37,0,0,5,5,1,1,0,1,3.7,12.7,0,2,Non-Dropout
0,0.0,0,1,0.0,19,134.6,0,137.0,171,0,5,5,1.74,1,19,19,1,0,0,0,1,1,0,0,1.4,10.8,0,1,Non-Dropout
4,11.5,6,1,13.33333333,22,140.0,9,140.0,9085,9,6,2,0.79,44,4,4,0,0,6,6,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
2,13.5,5,1,13.4,19,133.2,16,143.0,9254,9,1,1,1.74,1,2,37,0,0,6,6,1,1,0,0,1.4,10.8,0,1,Non-Dropout
4,12.25,3,1,10.2,21,133.5,13,138.0,9238,8,9,9,-1.7,17,37,37,1,0,6,6,1,1,0,0,3.7,12.7,0,1,Non-Dropout
6,12.83333333,5,1,13.0,21,117.9,7,120.0,9773,6,7,9,3.51,17,19,38,1,0,6,6,1,1,0,0,1.4,8.9,0,1,Non-Dropout
7,12.90857143,7,1,12.90857143,18,128.0,11,144.0,9500,11,7,5,1.74,1,38,38,1,0,8,8,1,1,0,0,1.4,10.8,0,3,Non-Dropout
1,10.0,4,1,12.0,20,113.2,11,123.0,9853,12,9,4,1.74,1,1,12,0,0,6,6,1,1,0,0,1.4,10.8,0,5,Dropout
5,11.0,6,1,10.83333333,18,122.0,8,129.0,9254,9,7,7,0.32,1,37,38,1,0,6,6,1,1,0,0,2.6,7.6,0,3,Non-Dropout
6,15.83333333,6,1,15.33333333,19,156.9,9,152.0,9070,6,8,4,-1.7,16,1,38,0,0,6,6,1,1,0,0,3.7,12.7,0,3,Non-Dropout
6,12.875,6,1,12.81666667,18,125.1,11,130.0,9500,9,9,9,2.02,1,1,38,1,0,8,7,1,1,0,0,0.6,11.1,0,2,Non-Dropout
2,14.0,6,0,13.0,26,100.0,6,133.1,9147,7,4,3,2.02,15,41,1,0,1,6,7,1,0,0,0,0.6,11.1,1,1,Dropout
2,11.0,2,1,13.5,19,160.0,11,160.0,9119,11,152,143,3.51,15,1,3,0,1,5,6,1,0,0,1,1.4,8.9,0,1,Non-Dropout
6,12.16666667,6,1,12.5,35,101.0,6,140.0,8014,7,9,9,-4.06,39,37,37,0,0,6,6,1,0,0,0,2.8,15.5,0,1,Non-Dropout
6,14.33333333,6,1,13.0,19,121.5,6,133.0,9670,7,9,9,1.79,18,1,1,1,0,6,6,1,1,0,0,0.5,12.4,0,1,Non-Dropout
5,12.57142857,4,1,11.75,18,126.8,10,138.0,9085,6,6,9,1.74,1,38,37,0,0,5,5,1,1,1,0,1.4,10.8,1,1,Non-Dropout
4,14.25,4,1,12.5,19,132.9,5,142.0,9670,5,3,7,0.32,1,19,19,0,0,5,5,1,0,0,0,2.6,7.6,1,5,Non-Dropout
17,12.05555556,17,1,11.61111111,25,134.3,22,115.0,171,19,9,9,1.79,1,1,1,0,0,17,17,1,1,0,0,0.5,12.4,1,1,Non-Dropout
6,14.66666667,6,1,14.0,18,120.5,6,125.0,9254,6,3,4,2.02,17,1,1,0,0,6,6,1,1,0,0,0.6,11.1,1,6,Non-Dropout
0,0.0,0,0,0.0,26,144.1,10,170.0,9003,8,5,9,-0.92,17,1,4,0,1,6,6,1,1,0,0,0.3,16.2,1,1,Dropout
5,13.83333333,5,1,13.8,34,100.0,6,140.0,9991,5,6,6,-3.12,43,1,1,0,0,5,5,1,0,0,0,-0.8,9.4,1,1,Non-Dropout
0,0.0,0,0,0.0,18,114.8,5,110.0,9254,6,3,4,-1.7,1,4,19,0,0,5,5,1,1,0,0,3.7,12.7,1,2,Dropout
0,0.0,0,0,0.0,18,111.9,0,114.0,171,0,5,3,-3.12,1,3,29,0,0,0,0,1,0,0,0,-0.8,9.4,1,1,Dropout
3,12.33333333,4,1,12.25,18,125.4,9,138.0,9119,9,3,4,3.51,17,1,19,1,0,5,5,1,1,0,0,1.4,8.9,1,3,Dropout
3,13.66666667,3,1,11.5,20,140.0,12,140.0,9003,12,4,9,1.79,44,37,37,0,0,6,6,39,0,0,0,0.5,12.4,1,1,Dropout
9,12.55555556,6,1,12.57142857,25,140.0,9,140.0,9070,9,4,4,-0.92,44,1,19,0,0,9,7,39,0,0,0,0.3,16.2,1,1,Non-Dropout
5,12.16666667,6,1,12.0,18,127.8,10,132.0,9130,9,1,4,2.02,17,2,1,0,0,6,6,1,0,0,0,0.6,11.1,1,1,Dropout
12,12.30769231,11,1,12.0,19,131.6,21,148.0,9003,17,9,9,-4.06,1,19,37,0,0,12,12,1,1,0,2,2.8,15.5,1,1,Non-Dropout
0,0.0,0,1,0.0,20,119.4,0,132.0,171,0,1,4,1.74,1,1,1,0,0,0,0,1,1,0,0,1.4,10.8,1,1,Dropout
6,11.16666667,6,1,12.0,20,129.9,6,126.0,9238,9,7,5,1.74,18,19,37,1,0,6,7,1,1,0,0,1.4,10.8,1,2,Non-Dropout
